"レースID","場所","R","タイトル","形式","距離","情報1","情報2","レコード","天候","状態","日時","日程","時刻","グレード","頭数","賞金","結果URL","着順","枠番","馬番","馬名","性","齢","斤量","騎手","タイム","着差","人気","オッズ","上り","通過","所属","調教師","馬体重","増減","馬URL","騎手URL","調教師URL","単勝","単勝払戻","単勝人気","複勝","複勝払戻","複勝人気","枠連","枠連払戻","枠連人気","馬連","馬連払戻","馬連人気","ワイド","ワイド払戻","ワイド人気","馬単","馬単払戻","馬単人気","3連複","3連複払戻","3連複人気","3連単","3連単払戻","3連単人気","last3frank","rankinfo","R2"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","1","5","9","ペイシャクェーサー","牝","3","54.0","北村宏","1:53 2","0","3","5.1","38.4","[2, 2, 2, 2]","美浦","蛯名利","462","2","https://db.netkeiba.com/horse/2018101245","https://db.netkeiba.com/jockey/01043/","https://db.netkeiba.com/trainer/01131/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","2","initdisp_top","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","2","7","12","エアーレジーナ","牝","3","54.0","ルメー","1:53 6","2.1/2","1","4.2","38.3","[9, 9, 7, 4]","美浦","和田雄","474","-4","https://db.netkeiba.com/horse/2018105473","https://db.netkeiba.com/jockey/05339/","https://db.netkeiba.com/trainer/01143/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","1","initdisp_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","3","4","7","コトブキアルニラム","牝","3","54.0","三浦","1:53 9","1.1/2","5","8.5","38.6","[8, 7, 7, 4]","美浦","萱野","438","-2","https://db.netkeiba.com/horse/2018105703","https://db.netkeiba.com/jockey/01122/","https://db.netkeiba.com/trainer/01024/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","3","initdisp_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","4","8","14","ワンモアナイン","牝","3","51.0","原","1:53 9","クビ","8","15.2","38.8","[4, 4, 3, 3]","美浦","小桧山","456","2","https://db.netkeiba.com/horse/2018100585","https://db.netkeiba.com/jockey/01184/","https://db.netkeiba.com/trainer/01005/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","4","initnone_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","5","3","4","ゲームアプレット","牝","3","54.0","嶋田","1:54 1","1.1/2","9","30.1","39.4","[1, 1, 1, 1]","美浦","小笠","450","2","https://db.netkeiba.com/horse/2018101283","https://db.netkeiba.com/jockey/01134/","https://db.netkeiba.com/trainer/01076/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","5","initnone_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","6","3","5","ウィズザワールド","牝","3","54.0","柴田大","1:55 1","6","2","4.5","39.6","[12, 12, 10, 7]","美浦","松山","462","2","https://db.netkeiba.com/horse/2018102417","https://db.netkeiba.com/jockey/01009/","https://db.netkeiba.com/trainer/01100/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","6","initnone_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","7","2","3","ネオアビー","牝","3","54.0","野中","1:55 6","3","14","220.2","40.1","[9, 10, 10, 9]","美浦","小西","452","-2","https://db.netkeiba.com/horse/2018101475","https://db.netkeiba.com/jockey/01158/","https://db.netkeiba.com/trainer/00405/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","9","initnone_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","8","6","11","ルージュブラン","牝","3","54.0","横山武","1:55 6","ハナ","4","5.7","40.5","[4, 4, 3, 7]","美浦","手塚","452","0","https://db.netkeiba.com/horse/2018104601","https://db.netkeiba.com/jockey/01170/","https://db.netkeiba.com/trainer/01038/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","10","initnone_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","9","6","10","ロイヤルパフューム","牝","3","54.0","岩田望","1:55 6","ハナ","10","63.9","39.8","[14, 13, 13, 11]","美浦","青木","498","0","https://db.netkeiba.com/horse/2018105571","https://db.netkeiba.com/jockey/01174/","https://db.netkeiba.com/trainer/01156/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","7","initnone_mid","1"
"202106030801","中山","1","3歳未勝利","ダート","1800","右","","1:48 5","晴","不","2021-04-18 01:05:00+00:00","2021-04-18","10:05","['サラ系３歳', '未勝利', '牝', '馬齢']","15","[510000, 200000, 130000, 77000, 51000]","https://race.netkeiba.com/race/result.html?race_id=202106030801&rf=race_list","10","1","1","レゾンデートル","牝","3","54.0","原田和","1:55 8","1.1/4","15","276.2","40.0","[13, 13, 13, 13]","美浦","加藤和","432","-2","https://db.netkeiba.com/horse/2018101548","https://db.netkeiba.com/jockey/01143/","https://db.netkeiba.com/trainer/01077/","[9]","[510]","[3]","[9, 12, 7]","[180, 170, 240]","[3, 2, 5]","[5, 7]","[1100]","[6]","[9, 12]","[1390]","[4]","[9, 12, 7, 9, 7, 12]","[600, 710, 750]","[5, 9, 10]","[9, 12]","[2620]","[8]","[7, 9, 12]","[3520]","[11]","[9, 12, 7]","[20210]","[68]","8","initnone_mid","1"
